t,x,y,z
1782661507.823,-0.00532,-0.00420,0.00121
1782661507.856,-0.00532,-0.00420,0.00121
1782661507.889,-0.00532,-0.00420,0.00121
1782661507.923,-0.00532,-0.00420,0.00121
1782661507.956,-0.00532,-0.00420,0.00121
1782661507.989,-0.00532,-0.00420,0.00121
1782661508.089,-0.00532,-0.00420,0.00121
1782661508.123,-0.00532,-0.00420,0.00121
1782661508.156,-0.00532,-0.00420,0.00121
1782661508.189,-0.00532,-0.00420,0.00121
1782661508.223,-0.00532,-0.00420,0.00121
1782661508.256,-0.00532,-0.00420,0.00121
1782661508.289,-0.00532,-0.00420,0.00121
1782661508.323,-0.00532,-0.00420,0.00121
1782661508.356,-0.00532,-0.00420,0.00121
1782661508.389,-0.00532,-0.00420,0.00121
1782661508.423,-0.00532,-0.00420,0.00121
1782661508.456,-0.00532,-0.00420,0.00121
1782661508.489,-0.00532,-0.00420,0.00121
1782661508.523,-0.00532,-0.00420,0.00121
1782661508.590,-0.00532,-0.00420,0.00121
1782661508.623,-0.00532,-0.00420,0.00121
1782661508.656,-0.00532,-0.00420,0.00121
1782661508.690,-0.00532,-0.00420,0.00121
1782661508.723,-0.00532,-0.00420,0.00121
1782661508.756,-0.00532,-0.00420,0.00121
1782661508.790,-0.00532,-0.00420,0.00121
1782661508.823,-0.00532,-0.00420,0.00121
1782661508.856,-0.00532,-0.00420,0.00121
1782661508.890,-0.00532,-0.00420,0.00121
1782661508.923,-0.00532,-0.00420,0.00121
1782661508.956,-0.00532,-0.00420,0.00121
1782661509.023,-0.00532,-0.00420,0.00121
1782661509.056,-0.00532,-0.00420,0.00121
1782661509.090,-0.00532,-0.00420,0.00121
1782661509.123,-0.00532,-0.00420,0.00121
1782661509.156,-0.00532,-0.00420,0.00121
1782661509.190,-0.00532,-0.00420,0.00121
1782661509.223,-0.00532,-0.00420,0.00121
1782661509.256,-0.00532,-0.00420,0.00121
1782661509.290,-0.00532,-0.00420,0.00121
1782661509.323,-0.00532,-0.00420,0.00121
1782661509.357,-0.00532,-0.00420,0.00121
1782661509.423,-0.00532,-0.00420,0.00121
1782661509.457,-0.00532,-0.00420,0.00121
1782661509.490,-0.00532,-0.00420,0.00121
1782661509.557,-0.00532,-0.00420,0.00121
1782661509.590,-0.00532,-0.00420,0.00121
1782661509.657,0.00225,-0.01000,-0.00634
1782661509.690,0.00225,-0.01000,-0.00634
1782661509.723,0.00225,-0.01000,-0.00634
1782661509.757,0.00225,-0.01000,-0.00634
1782661509.790,0.00225,-0.01000,-0.00634
1782661509.823,0.00225,-0.01000,-0.00634
1782661509.857,0.00225,-0.01000,-0.00634
1782661509.890,0.00225,-0.01000,-0.00634
1782661509.923,0.00135,-0.01188,-0.00638
1782661509.957,0.00090,-0.01219,-0.00609
1782661509.990,0.00077,-0.01293,-0.00623
1782661510.023,0.00078,-0.01302,-0.00655
1782661510.057,0.00045,-0.01278,-0.00639
1782661510.090,0.00047,-0.01186,-0.00657
1782661510.123,0.00079,-0.01060,-0.00638
1782661510.190,0.00079,-0.01060,-0.00638
1782661510.224,0.00079,-0.01060,-0.00638
1782661510.257,0.00079,-0.01060,-0.00638
1782661510.290,0.00079,-0.01060,-0.00638
1782661510.324,0.00079,-0.01060,-0.00638
1782661510.357,0.00079,-0.01060,-0.00638
1782661510.390,0.00079,-0.01060,-0.00638
1782661510.424,0.00079,-0.01060,-0.00638
1782661510.457,0.00029,-0.01110,-0.00715
1782661510.490,0.00018,-0.01045,-0.00686
1782661510.524,0.00018,-0.01045,-0.00686
1782661510.557,0.00018,-0.01045,-0.00686
1782661510.590,0.00146,-0.00907,-0.00592
1782661510.624,0.00146,-0.00907,-0.00592
1782661510.657,0.00146,-0.00907,-0.00592
1782661510.690,0.00146,-0.00907,-0.00592
1782661510.724,0.00146,-0.00907,-0.00592
1782661510.757,0.00146,-0.00907,-0.00592
1782661510.790,0.00146,-0.00907,-0.00592
1782661510.857,0.00146,-0.00907,-0.00592
1782661510.924,0.00146,-0.00907,-0.00592
1782661510.957,0.00146,-0.00907,-0.00592
1782661511.024,0.00146,-0.00907,-0.00592
